lat,lon
1.09792,110.7933
1.09792,110.7974
1.09792,110.8391
1.09792,110.8433
1.09792,110.8474
1.09792,110.8516
1.09792,110.8558
1.09792,110.8891
1.09792,110.8974
1.09792,110.9016
1.09792,110.9058
1.09792,110.91
1.09792,110.9141
1.09792,110.9224
1.09792,110.9516
1.09792,110.9558
1.09792,111.0516
1.09792,111.0558
1.09792,111.06
1.09792,111.0641
1.09792,111.0683
1.09792,111.0725
1.09792,111.0766
1.09792,111.0808
1.09792,111.1142
1.09792,111.1225
1.09792,111.135
1.09792,111.1433
1.09792,111.1517
1.09792,111.1558
1.09792,111.1767
1.09792,111.1808
1.09792,111.2767
1.09792,111.2809
1.09792,111.285
1.09792,111.2892
1.09792,111.2934
1.09792,111.2975
1.09792,111.3017
1.09792,111.3058
1.09792,111.31
1.09792,111.3142
1.09792,111.3184
1.09792,111.3225
1.09792,111.3309
1.09792,111.3684
1.09792,111.435
1.09792,111.4934
1.09792,111.4976
1.09792,111.5601
1.09792,111.5642
1.09792,111.6643
1.09792,111.6684
1.09792,111.6726
1.09792,111.7726
1.09792,111.7768
1.09792,111.8768
1.09792,111.881
1.09792,111.8851
1.09792,111.8893
1.09792,111.8935
1.09792,111.8976
1.10208,110.7059
1.10208,110.7101
1.10208,110.7142
1.10208,110.7184
1.10208,110.7226
1.10208,110.7267
1.10208,110.7309
1.10208,110.7351
1.10208,110.7392
1.10208,110.7434
1.10208,110.7476
1.10208,110.7517
1.10208,110.7559
1.10208,110.7601
1.10208,110.7642
1.10208,110.7684
1.10208,110.7726
1.10208,110.7767
1.10208,110.7809
1.10208,110.7851
1.10208,110.7892
1.10208,110.7934
1.10208,110.7976
1.10208,110.8392
1.10208,110.8434
1.10208,110.8476
1.10208,110.8518
1.10208,110.8893
1.10208,110.8934
1.10208,110.8976
1.10208,110.9018
1.10208,110.9059
1.10208,110.9101
1.10208,110.9143
1.10208,110.9184
1.10208,110.9226
1.10208,110.9268
1.10208,110.9309
1.10208,110.9351
1.10208,110.9393
1.10208,110.9476
1.10208,110.9518
1.10208,110.9559
1.10208,111.0518
1.10208,111.056
1.10208,111.0601
1.10208,111.0643
1.10208,111.0685
1.10208,111.0726
1.10208,111.0768
1.10208,111.081
1.10208,111.1351
1.10208,111.1435
1.10208,111.1643
1.10208,111.256
1.10208,111.2602
1.10208,111.2643
1.10208,111.2685
1.10208,111.281
1.10208,111.2852
1.10208,111.2893
1.10208,111.2935
1.10208,111.2977
1.10208,111.3018
1.10208,111.306
1.10208,111.3102
1.10208,111.3143
1.10208,111.3185
1.10208,111.3227
1.10208,111.3268
1.10208,111.331
1.10208,111.3519
1.10208,111.3602
1.10208,111.3643
1.10208,111.3685
1.10208,111.3727
1.10208,111.431
1.10208,111.4352
1.10208,111.4394
1.10208,111.4435
